Emotion,Time
happy,2023-11-24 13:30:40
happy,2023-11-24 13:30:40
happy,2023-11-24 13:30:40
happy,2023-11-24 13:30:40
happy,2023-11-24 13:30:40
happy,2023-11-24 13:30:40
happy,2023-11-24 13:30:40
happy,2023-11-24 13:30:40
happy,2023-11-24 13:30:40
happy,2023-11-24 13:30:40
happy,2023-11-24 13:30:40
happy,2023-11-24 13:30:40
happy,2023-11-24 13:30:40
happy,2023-11-24 13:30:40
happy,2023-11-24 13:30:40
happy,2023-11-24 13:30:40
happy,2023-11-24 13:30:40
happy,2023-11-24 13:30:40
happy,2023-11-24 13:30:40
happy,2023-11-24 13:30:41
happy,2023-11-24 13:30:41
happy,2023-11-24 13:30:41
happy,2023-11-24 13:30:41
happy,2023-11-24 13:30:41
happy,2023-11-24 13:30:41
happy,2023-11-24 13:30:41
happy,2023-11-24 13:30:41
happy,2023-11-24 13:30:41
happy,2023-11-24 13:30:41
happy,2023-11-24 13:30:41
happy,2023-11-24 13:30:41
happy,2023-11-24 13:30:41
happy,2023-11-24 13:30:41
happy,2023-11-24 13:30:41
happy,2023-11-24 13:30:41
happy,2023-11-24 13:30:41
happy,2023-11-24 13:30:41
happy,2023-11-24 13:30:41
happy,2023-11-24 13:30:41
happy,2023-11-24 13:30:41
happy,2023-11-24 13:30:41
happy,2023-11-24 13:30:41
happy,2023-11-24 13:30:41
happy,2023-11-24 13:30:41
happy,2023-11-24 13:30:41
happy,2023-11-24 13:30:42
happy,2023-11-24 13:30:42
happy,2023-11-24 13:30:42
happy,2023-11-24 13:30:42
happy,2023-11-24 13:30:42
happy,2023-11-24 13:30:42
happy,2023-11-24 13:30:42
happy,2023-11-24 13:30:42
happy,2023-11-24 13:30:42
happy,2023-11-24 13:30:42
happy,2023-11-24 13:30:42
happy,2023-11-24 13:30:42
happy,2023-11-24 13:30:42
happy,2023-11-24 13:30:42
happy,2023-11-24 13:30:42
happy,2023-11-24 13:30:42
happy,2023-11-24 13:30:42
